DateTime;<TICKER>;<PER>;Open;High;Low;Close;Volume
2023-04-03 20:00:00;SBER;60;216.07;216.42;215.8;215.95;741540
2023-04-03 21:00:00;SBER;60;215.95;216.31;215.91;216.13;727220
2023-04-03 22:00:00;SBER;60;216.15;216.36;216.03;216.2;684340
2023-04-03 23:00:00;SBER;60;216.2;216.35;215.79;216.09;979140
2023-04-04 10:00:00;SBER;60;216.2;217.29;215.34;216.43;9915350
2023-04-04 11:00:00;SBER;60;216.43;217.25;215.81;216.77;6641170
2023-04-04 12:00:00;SBER;60;216.76;216.85;216.0;216.29;2765250
2023-04-04 13:00:00;SBER;60;216.3;216.69;216.1;216.25;1477550
2023-04-04 14:00:00;SBER;60;216.27;216.6;216.17;216.44;2140280
2023-04-04 15:00:00;SBER;60;216.43;216.55;215.71;215.86;3304530
2023-04-04 16:00:00;SBER;60;215.86;216.36;215.55;215.8;2470950
2023-04-04 17:00:00;SBER;60;215.81;215.95;213.8;214.03;9373360
2023-04-04 18:00:00;SBER;60;214.05;214.79;214.01;214.29;3048810
2023-04-04 19:00:00;SBER;60;214.29;215.33;214.29;215.09;1552410
2023-04-04 20:00:00;SBER;60;215.08;215.11;214.55;214.89;754030
2023-04-04 21:00:00;SBER;60;214.89;215.0;214.5;214.63;717580
2023-04-04 22:00:00;SBER;60;214.66;215.0;214.52;214.6;935930
2023-04-04 23:00:00;SBER;60;214.64;214.92;214.53;214.83;650050
2023-04-05 10:00:00;SBER;60;214.69;214.69;211.4;214.2;15870220
2023-04-05 11:00:00;SBER;60;214.18;214.94;213.63;213.88;4219330
2023-04-05 12:00:00;SBER;60;213.88;214.5;213.7;214.05;2766400
2023-04-05 13:00:00;SBER;60;214.05;214.46;214.02;214.31;1896250
2023-04-05 14:00:00;SBER;60;214.33;214.44;213.75;214.14;2059000
2023-04-05 15:00:00;SBER;60;214.14;214.15;213.74;213.74;1550270
2023-04-05 16:00:00;SBER;60;213.74;214.15;213.39;214.04;2686610
2023-04-05 17:00:00;SBER;60;214.03;214.46;213.88;214.44;2434760
2023-04-05 18:00:00;SBER;60;214.43;215.99;214.43;215.99;6531400
2023-04-05 19:00:00;SBER;60;215.66;216.3;215.3;215.79;2303640
2023-04-05 20:00:00;SBER;60;215.77;215.95;215.63;215.73;803840
2023-04-05 21:00:00;SBER;60;215.74;216.28;215.73;216.18;1620850
2023-04-05 22:00:00;SBER;60;216.16;216.18;215.82;216.13;651410
2023-04-05 23:00:00;SBER;60;216.1;216.22;215.92;216.15;733980
2023-04-06 10:00:00;SBER;60;216.3;217.38;215.51;216.52;10326250
2023-04-06 11:00:00;SBER;60;216.53;217.0;215.63;215.69;4172580
2023-04-06 12:00:00;SBER;60;215.69;216.31;215.64;216.15;1992420
2023-04-06 13:00:00;SBER;60;216.15;216.21;215.53;215.92;2419780
2023-04-06 14:00:00;SBER;60;215.92;215.99;215.0;215.29;3091060
2023-04-06 15:00:00;SBER;60;215.31;215.69;215.19;215.44;1870640
2023-04-06 16:00:00;SBER;60;215.41;215.46;214.61;215.38;4710350
2023-04-06 17:00:00;SBER;60;215.4;215.7;215.05;215.2;1618160
2023-04-06 18:00:00;SBER;60;215.2;215.21;214.31;214.31;3150920
2023-04-06 19:00:00;SBER;60;214.35;215.69;214.35;215.4;1653790
2023-04-06 20:00:00;SBER;60;215.38;215.77;215.01;215.37;1409550
2023-04-06 21:00:00;SBER;60;215.37;215.5;214.93;215.33;906820
2023-04-06 22:00:00;SBER;60;215.34;215.38;215.01;215.03;285830
2023-04-06 23:00:00;SBER;60;215.05;215.09;214.07;214.25;1385270
2023-04-07 10:00:00;SBER;60;214.5;215.42;213.65;214.65;5665720
2023-04-07 11:00:00;SBER;60;214.65;215.12;214.58;214.8;2025300
2023-04-07 12:00:00;SBER;60;214.8;214.96;214.28;214.91;1730270
2023-04-07 13:00:00;SBER;60;214.91;215.41;214.65;215.06;2649890
2023-04-07 14:00:00;SBER;60;215.05;215.36;214.75;214.96;1373650
2023-04-07 15:00:00;SBER;60;214.96;215.11;214.7;215.06;1654410
2023-04-07 16:00:00;SBER;60;215.07;215.61;214.82;215.54;2565840
2023-04-07 17:00:00;SBER;60;215.53;216.26;215.49;216.21;3623990
2023-04-07 18:00:00;SBER;60;216.22;216.35;215.8;216.15;2676480
2023-04-07 19:00:00;SBER;60;216.15;216.3;215.76;215.88;1292910
2023-04-07 20:00:00;SBER;60;215.86;216.11;215.6;215.99;716390
2023-04-07 21:00:00;SBER;60;215.98;216.3;215.95;216.18;924850
2023-04-07 22:00:00;SBER;60;216.19;216.27;215.94;216.26;592570
2023-04-07 23:00:00;SBER;60;216.26;216.39;216.0;216.27;1664790
2023-04-10 10:00:00;SBER;60;217.1;218.57;216.61;217.99;15193370
2023-04-10 11:00:00;SBER;60;218.01;220.6;217.58;220.24;20206930
2023-04-10 12:00:00;SBER;60;220.27;221.47;219.62;220.75;16148460
2023-04-10 13:00:00;SBER;60;220.72;220.85;220.05;220.8;4489770
2023-04-10 14:00:00;SBER;60;220.8;221.4;220.64;220.72;5890750
2023-04-10 15:00:00;SBER;60;220.76;221.1;220.18;220.36;3085800
2023-04-10 16:00:00;SBER;60;220.35;221.06;220.21;220.56;2512320
2023-04-10 17:00:00;SBER;60;220.56;220.74;220.1;220.48;2548860
2023-04-10 18:00:00;SBER;60;220.52;221.16;220.48;220.95;3501920
2023-04-10 19:00:00;SBER;60;220.8;221.76;220.8;221.47;3683230
2023-04-10 20:00:00;SBER;60;221.45;221.75;221.32;221.7;1335110
2023-04-10 21:00:00;SBER;60;221.69;221.77;221.5;221.58;1135670
2023-04-10 22:00:00;SBER;60;221.58;221.99;221.56;221.75;2644820
2023-04-10 23:00:00;SBER;60;221.76;222.26;221.75;222.21;2581920
2023-04-11 10:00:00;SBER;60;222.9;223.33;220.75;221.47;25605310
2023-04-11 11:00:00;SBER;60;221.47;222.2;221.18;221.93;7041900
2023-04-11 12:00:00;SBER;60;221.93;222.91;221.83;222.16;5638130
2023-04-11 13:00:00;SBER;60;222.17;222.36;221.57;221.75;4387920
2023-04-11 14:00:00;SBER;60;221.77;222.34;221.4;222.04;4076610
2023-04-11 15:00:00;SBER;60;222.04;222.25;221.6;221.6;2080970
2023-04-11 16:00:00;SBER;60;221.6;221.63;217.62;219.13;31004500
2023-04-11 17:00:00;SBER;60;219.12;220.3;218.64;219.44;7274060
2023-04-11 18:00:00;SBER;60;219.44;219.44;218.51;218.94;3541720
